Store,Dept,Date,Weekly_Sales,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,IsHoliday,sample_weight
4,4,2010/2/5,59554.57,-1,-1,-1,-1,-1,0,1
4,4,2010/2/12,54069.82,-1,-1,-1,-1,-1,1,5
4,4,2010/2/19,53939.17,-1,-1,-1,-1,-1,0,1
4,4,2010/2/26,54687.08,-1,-1,-1,-1,-1,0,1
4,4,2010/3/5,56959.02,-1,-1,-1,-1,-1,0,1
4,4,2010/3/12,52142.35,-1,-1,-1,-1,-1,0,1
4,4,2010/3/19,51535.33,-1,-1,-1,-1,-1,0,1
4,4,2010/3/26,47886.96,-1,-1,-1,-1,-1,0,1
4,4,2010/4/2,56959.52,-1,-1,-1,-1,-1,0,1
4,4,2010/4/9,49746.01,-1,-1,-1,-1,-1,0,1
4,4,2010/4/16,53694.53,-1,-1,-1,-1,-1,0,1
4,4,2010/4/23,51630.47,-1,-1,-1,-1,-1,0,1
4,4,2010/4/30,52820.8,-1,-1,-1,-1,-1,0,1
4,4,2010/5/7,54037.74,-1,-1,-1,-1,-1,0,1
4,4,2010/5/14,48542.31,-1,-1,-1,-1,-1,0,1
4,4,2010/5/21,54926.4,-1,-1,-1,-1,-1,0,1
4,4,2010/5/28,50608.77,-1,-1,-1,-1,-1,0,1
4,4,2010/6/4,55355.78,-1,-1,-1,-1,-1,0,1
4,4,2010/6/11,49069.9,-1,-1,-1,-1,-1,0,1
4,4,2010/6/18,49646.84,-1,-1,-1,-1,-1,0,1
4,4,2010/6/25,48668.13,-1,-1,-1,-1,-1,0,1
4,4,2010/7/2,56869.52,-1,-1,-1,-1,-1,0,1
4,4,2010/7/9,54750.48,-1,-1,-1,-1,-1,0,1
4,4,2010/7/16,53436.74,-1,-1,-1,-1,-1,0,1
4,4,2010/7/23,50912.21,-1,-1,-1,-1,-1,0,1
4,4,2010/7/30,52243.98,-1,-1,-1,-1,-1,0,1
4,4,2010/8/6,56299.32,-1,-1,-1,-1,-1,0,1
4,4,2010/8/13,56967.92,-1,-1,-1,-1,-1,0,1
4,4,2010/8/20,57022.55,-1,-1,-1,-1,-1,0,1
4,4,2010/8/27,52712.01,-1,-1,-1,-1,-1,0,1
4,4,2010/9/3,59177.53,-1,-1,-1,-1,-1,0,1
4,4,2010/9/10,54140.32,-1,-1,-1,-1,-1,1,5
4,4,2010/9/17,54102.43,-1,-1,-1,-1,-1,0,1
4,4,2010/9/24,52942.57,-1,-1,-1,-1,-1,0,1
4,4,2010/10/1,54800.74,-1,-1,-1,-1,-1,0,1
4,4,2010/10/8,53891.67,-1,-1,-1,-1,-1,0,1
4,4,2010/10/15,50525.31,-1,-1,-1,-1,-1,0,1
4,4,2010/10/22,54253.23,-1,-1,-1,-1,-1,0,1
4,4,2010/10/29,51854.74,-1,-1,-1,-1,-1,0,1
4,4,2010/11/5,56510.88,-1,-1,-1,-1,-1,0,1
4,4,2010/11/12,53983.21,-1,-1,-1,-1,-1,0,1
4,4,2010/11/19,60787.72,-1,-1,-1,-1,-1,0,1
4,4,2010/11/26,67374.29,-1,-1,-1,-1,-1,1,5
4,4,2010/12/3,54740.6,-1,-1,-1,-1,-1,0,1
4,4,2010/12/10,55596.4,-1,-1,-1,-1,-1,0,1
4,4,2010/12/17,59042.38,-1,-1,-1,-1,-1,0,1
4,4,2010/12/24,68696.66,-1,-1,-1,-1,-1,0,1
4,4,2010/12/31,53679.23,-1,-1,-1,-1,-1,1,5
4,4,2011/1/7,56671.32,-1,-1,-1,-1,-1,0,1
4,4,2011/1/14,54969.55,-1,-1,-1,-1,-1,0,1
4,4,2011/1/21,55157.31,-1,-1,-1,-1,-1,0,1
4,4,2011/1/28,51712.45,-1,-1,-1,-1,-1,0,1
4,4,2011/2/4,56454.32,-1,-1,-1,-1,-1,0,1
4,4,2011/2/11,55747.3,-1,-1,-1,-1,-1,1,5
4,4,2011/2/18,55175.48,-1,-1,-1,-1,-1,0,1
4,4,2011/2/25,54743.92,-1,-1,-1,-1,-1,0,1
4,4,2011/3/4,57093.74,-1,-1,-1,-1,-1,0,1
4,4,2011/3/11,53029.03,-1,-1,-1,-1,-1,0,1
4,4,2011/3/18,53451.38,-1,-1,-1,-1,-1,0,1
4,4,2011/3/25,51338.37,-1,-1,-1,-1,-1,0,1
4,4,2011/4/1,51382.98,-1,-1,-1,-1,-1,0,1
4,4,2011/4/8,54500.33,-1,-1,-1,-1,-1,0,1
4,4,2011/4/15,51184.02,-1,-1,-1,-1,-1,0,1
4,4,2011/4/22,55018.98,-1,-1,-1,-1,-1,0,1
4,4,2011/4/29,50045.96,-1,-1,-1,-1,-1,0,1
4,4,2011/5/6,59039.42,-1,-1,-1,-1,-1,0,1
4,4,2011/5/13,51468.7,-1,-1,-1,-1,-1,0,1
4,4,2011/5/20,58171.41,-1,-1,-1,-1,-1,0,1
4,4,2011/5/27,52931.36,-1,-1,-1,-1,-1,0,1
4,4,2011/6/3,57563.3,-1,-1,-1,-1,-1,0,1
4,4,2011/6/10,54395.37,-1,-1,-1,-1,-1,0,1
4,4,2011/6/17,54818.18,-1,-1,-1,-1,-1,0,1
4,4,2011/6/24,52377.67,-1,-1,-1,-1,-1,0,1
